playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,distance,poss_duration,start_sector,end_sector,playerName,targetName
196633,LB,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,26.75,2.41,10,9,B. Oczipka,
196633,LB,UDARAC,UDARAC U OKVIR,ZONA,0,0,26.75,2.41,10,9,B. Oczipka,
1802,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,4.59,0.16,9,9,A. Meier,
1802,ST,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,4.59,0.16,9,9,A. Meier,
16520,RW,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,9.51,0.16,12,8,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,9.51,0.16,12,8,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,GLAVOM,0,0,9.51,0.16,12,8,S. Aigner,
1802,ST,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,3.56,0.16,8,8,A. Meier,
1802,ST,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,3.56,0.16,8,8,A. Meier,
1802,ST,UDARAC,UDARAC U OKVIR,PO ZEMLJI,0,0,10.41,0.16,8,8,A. Meier,
1802,ST,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,10.41,0.16,8,8,A. Meier,
7466,LCB,UDARAC,UDARAC U OKVIR,PO ZEMLJI,0,0,1.53,2.57,8,8,A. Ben-Hatira,
7466,LCB,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,1.53,2.57,8,8,A. Ben-Hatira,
1770,LW,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,10.14,0.15,12,8,S. Huszti,
1770,LW,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,10.14,0.15,12,8,S. Huszti,
1770,LW,UDARAC,UDARAC U OKVIR,IZ VOLEJA,0,0,10.14,0.15,12,8,S. Huszti,
1770,LW,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,10.14,0.15,12,8,S. Huszti,
